92.6,2.32,1,4.528289,0.8415672,.,..1,..2,..3,..4,..5,..6,..7,..8,..9,..10,..11,..12,..13,..14
107.1,2.96,62,4.673763,1.085189,0.0037417,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0072203,0.0028152
108.0,2.97,63,4.682131,1.088562,0.0083685,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0035907,0.0037417
108.7,2.99,64,4.688592,1.095273,0.0064607,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0035778,0.0083685
109.0,3.02,65,4.691348,1.105257,0.0027561,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0106572,0.0064607
109.7,3.04,66,4.697749,1.111858,0.0064011,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0035274,0.0027561
110.2,3.05,67,4.702297,1.115142,0.0045476,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0035149,0.0064011
110.7,3.06,68,4.706824,1.118415,0.0045271,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0035026,0.0045476
111.2,3.11,69,4.71133,1.134623,0.0045066,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0173316,0.0045271
111.6,3.12,70,4.714921,1.137833,0.0035906,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0034305,0.0045066
112.2,3.13,71,4.720283,1.141033,0.005362,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0,0.0035906
112.9,3.12,72,4.726502,1.137833,0.0062194,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0034188,0.005362
113.3,3.13,73,4.730039,1.141033,0.0035367,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0034071,0.0062194
113.9,3.15,74,4.735321,1.147403,0.0052819,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0067797,0.0035367
114.5,3.17,75,4.740575,1.153732,0.0052538,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0033728,0.0052819
115.2,3.18,76,4.74667,1.156881,0.0060949,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0067114,0.0052538
115.7,3.2,77,4.751,1.163151,0.0043306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0099834,0.0060949
116.3,3.22,78,4.756173,1.169381,0.0051727,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0066007,0.0043306
116.7,3.24,79,4.759606,1.175573,0.0034332,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0032841,0.0051727
116.9,3.25,80,4.761319,1.178655,0.0017123,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0032732,0.0034332
117.5,3.29,81,4.766438,1.190888,0.0051198,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0162078,0.0017123
118.1,3.29,82,4.771532,1.190888,0.0050931,0.0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0032103,0.0051198
118.5,3.29,83,4.774913,1.190888,0.0033813,0.0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0032001,0.0050931
119.1,3.31,84,4.779963,1.196948,0.0050507,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,-0.0032001,0.0033813
119.2,3.34,85,4.780803,1.205971,0.0008392,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0032001,0.0050507
119.4,3.36,86,4.782479,1.211941,0.0016766,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0063695,0.0008392
119.8,3.38,87,4.785824,1.217876,0.0033445,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0063291,0.0016766
120.2,3.4,88,4.789157,1.223776,0.0033331,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0031496,0.0033445
120.8,3.43,89,4.794137,1.23256,0.0049796,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0062696,0.0033331
121.5,3.45,90,4.799914,1.238374,0.0057778,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0062306,0.0049796
121.8,3.46,91,4.802381,1.241269,0.0024662,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.006192,0.0057778
122.1,3.48,92,4.804841,1.247032,0.00246,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.0030817,0.0024662
122.2,3.52,93,4.805659,1.258461,0.0008183,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0122325,0.00246
122.4,3.53,94,4.807294,1.261298,0.0016356,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0,0.0008183
122.6,3.52,95,4.808927,1.258461,0.0016327,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0,0.0016356
123.1,3.55,96,4.812997,1.266948,0.0040698,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0060606,0.0016327
123.2,3.6,97,4.813809,1.280934,0.0008121,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0090226,0.0040698
123.8,3.61,98,4.818667,1.283708,0.0048585,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0059701,0.0008121
124.0,3.62,99,4.820282,1.286474,0.0016141,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0059348,0.0048585
124.3,3.65,100,4.822698,1.294727,0.0024166,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0058998,0.0016141
124.7,3.67,101,4.825911,1.300192,0.0032129,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0087848,0.0024166
125.0,3.67,102,4.828314,1.300192,0.0024028,0.0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.005814,0.0032129
125.5,3.69,103,4.832306,1.305627,0.0039921,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0028944,0.0024028
125.7,3.71,104,4.833898,1.311032,0.0015922,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0057636,0.0039921
126.2,3.77,105,4.837868,1.327075,0.0039697,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0114287,0.0015922
126.6,3.79,106,4.841033,1.332366,0.0031648,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0028368,0.0039697
126.9,3.78,107,4.8434,1.329724,0.002367,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,-0.0028368,0.0031648
127.3,3.8,108,4.846547,1.335001,0.0031471,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0084866,0.002367
127.7,3.82,109,4.849684,1.34025,0.0031371,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0139862,0.0031471
128.6,3.83,110,4.856707,1.342865,0.0070233,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0027739,0.0031371
129.8,3.85,111,4.865995,1.348073,0.0092878,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0027663,0.0070233
130.7,3.88,112,4.872905,1.355835,0.0069098,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0082532,0.0092878
131.5,3.9,113,4.879007,1.360977,0.0061021,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0054644,0.0069098
132.4,3.92,114,4.885828,1.366092,0.0068207,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0,0.0061021
132.7,3.95,115,4.888091,1.373716,0.0022635,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0054349,0.0068207
135.1,3.95,116,4.906015,1.373716,0.0179243,0.0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0054054,0.0022635
135.5,4.03,117,4.908972,1.393766,0.0029564,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0160431,0.0179243
136.6,4.04,118,4.917057,1.396245,0.0080853,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.005291,0.0029564
137.6,4.05,119,4.924351,1.398717,0.0072937,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,-0.002642,0.0080853
138.5,4.05,120,4.930871,1.398717,0.0065198,0.0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0052772,0.0072937
139.7,4.07,121,4.939497,1.403643,0.0086269,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0052493,0.0065198
141.5,4.09,122,4.9523,1.408545,0.0128021,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0026144,0.0086269
143.1,4.1,123,4.963544,1.410987,0.0112443,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0052084,0.0128021
143.9,4.12,124,4.969119,1.415853,0.0055747,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0077621,0.0112443
145.5,4.19,125,4.980176,1.432701,0.0110574,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0051414,0.0055747
146.9,4.23,126,4.989752,1.442202,0.0095758,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0051152,0.0110574
148.0,4.24,127,4.997212,1.444563,0.0074606,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0076239,0.0095758
149.9,4.27,128,5.009968,1.451614,0.0127559,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0,0.0074606
151.7,4.37,129,5.021905,1.474763,0.0119367,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0200508,0.0127559
153.0,4.38,130,5.030438,1.477049,0.008533,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.0024782,0.0119367
154.3,4.38,131,5.038899,1.477049,0.008461,0.0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.0024723,0.008533
155.4,4.4,132,5.046002,1.481605,0.0071034,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0,0.008461
156.1,4.41,133,5.050497,1.483875,0.0044947,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0049261,0.0071034
157.2,4.42,134,5.057519,1.48614,0.0070219,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.004902,0.0044947
157.8,4.44,135,5.061328,1.490654,0.0038095,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0024419,0.0070219
158.6,4.45,136,5.066385,1.492904,0.0050569,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0048662,0.0038095
159.3,4.48,137,5.070789,1.499623,0.0044041,0.006719,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0168476,0.0050569
160.6,4.51,138,5.078917,1.506297,0.0081277,0.0066742,0.006719,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0095012,0.0044041
162.3,4.52,139,5.089447,1.508512,0.0105295,0.0022148,0.0066742,0.006719,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0023613,0.0081277
162.8,4.56,140,5.092523,1.517323,0.0030761,0.0088106,0.0022148,0.0066742,0.006719,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0070505,0.0105295
163.6,4.63,141,5.097425,1.532557,0.0049019,0.0152342,0.0088106,0.0022148,0.0066742,0.006719,0.0022497,0.0045147,0.002265,0.0022701,0.0045558,0,0.0022857,0.0231493,0.0030761
